lga_name, indicator_2013, lga_code, denominators_2013, denominators_2011, denominators_2012, denominators_2010, numerators_2012, numerators_2013, numerators_2010, indicator_2011, numerators_2011, indicator_2012, indicator_2010,mean
Ballarat (C),5.8002,20570,1205,1115,1246,1075,62,70,61,5.56488,62,4.95083,5.71192,5.40921
Banyule (C),1.8438,20660,1265,988,1277,1140,33,23,47,3.22895,32,2.56328,4.16082,3.317683333
Bass Coast (S),5.0985,20740,391,336,372,313,16,20,12,4.49371,15,4.37057,3.72613,4.196803333
Baw Baw (S),5.9107,20830,601,500,525,676,33,36,46,5.86925,29,6.37231,6.75908,6.333546667
Bayside (C),1.5954,20910,1094,1057,1086,1018,19,17,21,2.11799,22,1.74547,2.01414,1.9592
Benalla (RC),6.8368,21010,134,125,158,142,17,9,11,6.36254,8,10.8374,7.39059,8.196843333
Boroondara (C),2.0887,21110,1624,1547,1586,1579,27,34,23,1.33064,21,1.73025,1.44194,1.500943333
Alpine (S),null,20110,138,null,null,null,null,null,null,3.8,null,null,null,3.8
Ararat (RC),4.5802,20260,139,null,124,146,8,6,7,null,null,6.83768,4.91501,5.876345
Brimbank (C),3.9537,21180,2261,2031,2034,2115,76,89,103,4.57471,93,3.71297,4.8761,4.387926667
Buloke (S),6.0675,21270,83,75,null,null,null,5,null,10.3761,8,null,null,10.3761
Campaspe (S),7.262,21370,442,459,433,470,25,32,25,7.3829,34,5.70161,5.41417,6.166226667
Cardinia (S),7.252,21450,1220,1046,1187,883,64,88,56,5.29876,55,5.35248,6.3024,5.651213333
Casey (C),4.8248,21610,4007,3581,3857,3111,211,193,169,4.11024,147,5.47486,5.44411,5.009736667
Central Goldfields (S),9.9681,21670,127,126,138,119,13,13,11,4.54936,6,9.28412,8.81475,7.54941
Colac-Otway (S),8.1746,21750,233,240,277,273,11,19,13,4.25939,10,4.06302,4.79058,4.370996667
Corangamite (S),3.8042,21830,222,219,208,179,13,8,6,4.71556,10,6.02983,3.26014,4.66851
Darebin (C),2.5396,21890,1392,1322,1393,1361,36,35,41,3.22274,43,2.59921,2.99076,2.93757
East Gippsland (S),7.9207,22110,488,477,505,443,30,39,19,5.20252,25,5.90461,4.28902,5.13205
Frankston (C),5.7009,22170,1603,1357,1513,1387,101,91,74,5.15676,70,6.69438,5.30032,5.717153333
Gannawarra (S),7.6854,22250,129,null,115,100,4,10,9,null,null,3.44875,8.98792,6.218335
Greater Shepparton (C),6.8381,22830,847,795,924,826,57,58,55,5.19134,41,6.17899,6.60954,5.99329
Hepburn (S),6.0843,22910,162,147,null,null,null,10,null,3.89585,6,3,3.4,3.43195
Hindmarsh (S),null,22980,57,null,null,null,null,null,null,null,null,null,null,#DIV/0!
Hobsons Bay (C),2.7249,23110,966,892,738,733,26,26,27,3.67237,33,3.55513,3.73884,3.655446667
Horsham (RC),3.0061,23190,256,247,246,209,10,8,13,5.2031,13,3.99078,6.11483,5.102903333
Hume (C),5.8422,23270,2272,2262,2212,2157,122,133,122,5.41983,123,5.51136,5.64674,5.525976667
Indigo (S),3.2618,23350,206,null,210,156,10,7,7,3.5,null,4.68236,4.4811,4.221153333
Kingston (C),2.6634,23430,1670,1537,1586,1535,50,44,48,2.51308,39,3.13465,3.14907,2.932266667
Knox (C),4.1444,23670,1563,1596,1587,1513,72,65,57,3.49949,56,4.56623,3.78729,3.951003333
Latrobe (C),6.5059,23810,893,879,917,558,68,58,45,8.432,74,7.367,8.14691,7.98197
Loddon (S),6.4754,23940,89,null,null,179,null,6,11,6.1757,null,null,5.96223,6.068965
Macedon Ranges (S),4.6935,24130,616,617,646,654,22,29,19,3.06466,19,3.38928,2.93243,3.12879
Manningham (C),2.459,24210,1202,1142,1124,1186,33,30,28,2.96605,34,2.9132,2.33868,2.73931
Mansfield (S),7.5403,24250,92,null,null,null,null,7,null,null,null,null,null,#DIV/0!
Maribyrnong (C),3.276,24330,777,704,678,653,25,25,27,3.1018,22,3.73655,4.20647,3.681606667
Maroondah (C),4.1865,24410,1197,1123,1163,1125,44,50,38,3.11853,35,3.76429,3.41011,3.430976667
Melbourne (C),2.3487,24600,371,334,307,421,7,9,17,2.40618,8,2.21482,4.01131,2.877436667
Melton (S),5.529,24650,1720,1446,1442,1241,78,95,62,5.55928,80,5.43238,4.99819,5.32995
Mildura (RC),6.322,24780,695,620,710,601,35,44,35,6.11355,38,4.93597,5.82763,5.625716667
Mitchell (S),6.9649,24850,442,386,523,341,31,31,17,3.71092,14,5.90437,5.0066,4.873963333
Moira (S),8.2629,24900,320,310,351,339,24,26,20,5.82985,18,6.91941,5.99074,6.246666667
Monash (C),3.0541,24970,1652,1504,1552,1564,29,50,45,3.23639,49,1.88389,2.84909,2.656456667
Moonee Valley (C),3.2227,25060,1050,1087,713,841,18,34,22,1.71518,19,2.54111,2.59304,2.28311
Moorabool (S),4.7909,25150,417,371,414,308,20,20,10,5.19434,19,4.70969,3.36699,4.423673333
Moreland (C),3.3661,25250,1497,1438,1358,1287,42,50,40,2.69066,39,3.0992,3.14306,2.97764
Mornington Peninsula (S),4.2059,25340,1782,1666,1713,1559,69,75,73,4.08703,68,4.03707,4.67536,4.266486667
Mount Alexander (S),4.16,25430,189,184,null,193,null,8,8,4.85475,9,2.77332,4.32839,3.985486667
Moyne (S),3.0074,25490,226,222,215,219,9,7,14,4.25831,9,4.08133,6.25381,4.864483333
Murrindindi (S),5.8694,25620,164,null,147,225,8,10,12,null,null,5.12228,5.14744,5.13486
Nillumbik (S),3.0656,25710,695,647,699,792,24,21,27,2.6707,17,3.37089,3.3578,3.13313
Northern Grampians (S),7.3674,25810,115,155,null,120,null,8,6,4.70044,7,null,4.82698,4.76371
Port Phillip (C),1.3111,25900,681,554,602,504,14,9,7,1.40524,8,2.37213,1.34185,1.706406667
Pyrenees (S),null,25990,76,76,null,130,null,null,10,8.71457,7,null,7.82613,8.27035
Queenscliffe (B),0,26080,25,null,null,null,null,0,null,null,null,null,null,#DIV/0!
South Gippsland (S),2.4375,26170,350,329,342,317,13,9,14,5.01142,17,3.74701,4.42281,4.393746667
Southern Grampians (S),3.3437,26260,206,167,169,194,9,7,14,5.30099,9,5.29676,7.23428,5.94401
Stonnington (C),2.0034,26350,659,591,529,542,9,13,8,1.15246,7,1.71351,1.38964,1.418536667
Strathbogie (S),3.3315,26430,92,92,null,97,null,3,6,6.68678,6,null,6.1646,6.42569
Surf Coast (S),1.2735,26490,368,374,300,587,17,5,19,1.98805,7,5.76386,3.19955,3.650486667
Swan Hill (RC),4.731,26610,250,240,233,147,16,12,8,8.16684,20,6.78045,5.37795,6.77508
Towong (S),null,26670,61,null,null,null,null,null,null,null,null,null,null,#DIV/0!
Wangaratta (RC),4.0266,26700,341,332,331,326,23,14,19,5.4138,18,6.80276,5.82356,6.013373333
Warrnambool (C),4.4152,26730,374,396,345,402,11,17,17,4.45257,18,3.06006,4.22926,3.913963333
Wellington (S),6.8193,26810,517,550,520,599,38,35,37,7.51116,41,7.26196,6.16122,6.978113333
West Wimmera (S),null,26890,38,null,null,null,null,null,null,13.8,null,null,null,13.8
Whitehorse (C),2.9381,26980,1691,1638,1750,1725,32,50,33,2.21693,36,1.80013,1.93268,1.983246667
Whittlesea (C),4.1339,27070,2233,2005,2131,1743,112,92,83,3.82593,77,5.25246,4.76419,4.614193333
