denominators_2009, indicator_2013, denominators_2010, numerators_2009, lga_code, lga_name, denominators_2013, denominators_2011, denominators_2012, indicator_2009, numerators_2012, numerators_2013, numerators_2010, indicator_2011, numerators_2011, indicator_2012, indicator_2010
967,15.8961,1075,172,"20570","Ballarat (C)",1205,1115,1246,17.8136,182,192,187,17.3294,193,14.6214,17.4074
1145,10.2458,1140,153,"20660","Banyule (C)",1265,988,1277,13.3394,144,130,169,14.6441,145,11.2469,14.7883
302,14.6225,313,49,"20740","Bass Coast (S)",391,336,372,16.2158,49,57,52,12.4002,42,13.2918,16.7229
662,16.5899,676,109,"20830","Baw Baw (S)",601,500,525,16.4029,79,100,124,17.9974,90,14.9455,18.3378
965,9.7641,1018,116,"20910","Bayside (C)",1094,1057,1086,12.0595,89,107,111,11.1483,118,8.15934,10.9265
154,15.1751,142,23,"21010","Benalla (RC)",134,125,158,14.6475,33,20,25,19.3114,24,20.9355,17.5966
1337,10.4255,1579,142,"21110","Boroondara (C)",1624,1547,1586,10.6172,165,169,170,11.2138,174,10.4149,10.7566
147,11.6872,136,25,"20110","Alpine (S)",138,139,116,17.0423,14,16,17,16.11,22,11.6649,12.2477
132,14.468,146,27,"20260","Ararat (RC)",139,120,124,20.368,18,20,27,15.8574,19,14.4036,18.7415
2128,12.3388,2115,304,"21180","Brimbank (C)",2261,2031,2034,14.2635,232,279,358,14.8711,302,11.4034,16.9432
73,10.9244,76,19,"21270","Buloke (S)",83,75,84,25.4042,14,9,12,19.5964,15,16.2401,15.2753
424,14.1471,470,68,"21370","Campaspe (S)",442,459,433,16.0233,65,62,81,19.6347,90,14.9194,17.3011
783,18.1492,883,138,"21450","Cardinia (S)",1220,1046,1187,17.6356,162,221,141,17.2475,180,13.6218,15.9994
3166,12.656,3111,564,"21610","Casey (C)",4007,3581,3857,17.8139,509,507,498,15.1105,541,13.1997,16.0067
94,16.8407,119,18,"21670","Central Goldfields (S)",127,126,138,18.8465,24,21,23,17.1847,22,17.3187,19.5771
250,14.3267,273,41,"21750","Colac-Otway (S)",233,240,277,16.3775,33,33,40,14.8537,36,12.077,14.4596
169,14.1792,179,27,"21830","Corangamite (S)",222,219,208,16.0294,24,31,20,15.5462,34,11.6073,11.1584
1282,12.1322,1361,180,"21890","Darebin (C)",1392,1322,1393,14.04,202,169,198,14.6071,193,14.531,14.5172
450,15.1027,443,71,"22110","East Gippsland (S)",488,477,505,15.7782,78,74,77,17.2858,82,15.3718,17.3818
1243,15.2568,1387,234,"22170","Frankston (C)",1603,1357,1513,18.8417,258,245,248,16.0523,218,17.0661,17.8934
92,15.3889,100,13,"22250","Gannawarra (S)",129,102,115,14.1612,14,20,17,13.7292,14,12.0533,16.9861
816,14.2347,826,145,"22830","Greater Shepparton (C)",847,795,924,17.7056,148,121,144,16.9326,135,15.9847,17.4277
146,15.9522,149,27,"22910","Hepburn (S)",162,147,170,18.5619,25,26,20,16.1147,24,14.4338,13.2303
60,15.2726,61,6,"22980","Hindmarsh (S)",57,60,52,9.92543,10,9,15,14.6445,9,20.361,25.2189
719,13.4274,733,98,"23110","Hobsons Bay (C)",966,892,738,13.6373,94,130,96,13.1028,117,12.7234,13.1378
198,13.3958,209,33,"23190","Horsham (RC)",256,247,246,16.4699,29,34,40,13.5726,34,11.7321,19.1907
1550,12.8169,2157,221,"23270","Hume (C)",2272,2262,2212,14.2548,269,291,356,16.5304,374,12.164,16.4957
162,13.7996,156,22,"23350","Indigo (S)",206,150,210,13.6606,31,28,27,13.3093,20,14.6508,17.266
1390,12.1028,1535,199,"23430","Kingston (C)",1670,1537,1586,14.2955,183,202,223,11.3284,174,11.5513,14.5126
1483,12.953,1513,233,"23670","Knox (C)",1563,1596,1587,15.7124,206,202,223,15.4482,247,12.9735,14.7565
598,15.242,558,122,"23810","Latrobe (C)",893,879,917,20.3464,144,136,112,21.1249,186,15.7451,20.0597
150,16.0714,179,29,"23940","Loddon (S)",89,89,81,19.299,12,14,30,14.7476,13,14.8219,16.4769
613,12.1011,654,73,"24130","Macedon Ranges (S)",616,617,646,11.8388,87,75,86,11.4564,71,13.4316,13.2196
1106,11.6869,1186,118,"24210","Manningham (C)",1202,1142,1124,10.6896,112,141,146,12.3495,141,9.95508,12.2945
null,14.8765,70,null,"24250","Mansfield (S)",92,67,83,null,12,14,9,13.0064,9,14.3573,12.9149
554,11.3754,653,61,"24330","Maribyrnong (C)",777,704,678,10.989,79,88,96,12.4527,88,11.645,14.7158
1083,15.1559,1125,162,"24410","Maroondah (C)",1197,1123,1163,14.9313,165,181,163,13.4263,151,14.1903,14.5057
382,7.0891,421,40,"24600","Melbourne (C)",371,334,307,10.3701,33,26,56,13.4422,45,10.8621,13.2421
1397,13.5938,1241,224,"24650","Melton (S)",1720,1446,1442,16.0502,183,234,221,14.8298,215,12.6705,17.8139
621,14.7973,601,113,"24780","Mildura (RC)",695,620,710,18.195,87,103,114,17.167,106,12.2885,18.9032
350,16.3,341,60,"24850","Mitchell (S)",442,386,523,17.1394,73,72,46,15.9184,61,13.9497,13.4312
281,14.4924,339,44,"24900","Moira (S)",320,310,351,15.6425,53,46,59,19.4328,60,15.1269,17.4145
1478,13.4561,1564,200,"24970","Monash (C)",1652,1504,1552,13.534,171,222,214,12.5338,188,11.0243,13.661
872,10.5102,841,87,"25060","Moonee Valley (C)",1050,1087,713,10.0289,82,110,107,10.9873,119,11.5634,12.7666
304,12.5349,308,51,"25150","Moorabool (S)",417,371,414,16.9207,49,52,50,14.787,55,11.837,16.1823
1357,13.085,1287,176,"25250","Moreland (C)",1497,1438,1358,12.9573,165,196,200,15.6037,224,12.1656,15.5257
1404,13.0683,1559,210,"25340","Mornington Peninsula (S)",1782,1666,1713,14.9231,219,233,244,13.7243,229,12.7994,15.6359
213,13.7767,193,28,"25430","Mount Alexander (S)",189,184,186,12.9159,22,26,30,16.6029,31,11.5493,15.7462
198,9.9143,219,25,"25490","Moyne (S)",226,222,215,12.4981,24,22,29,11.4934,26,11.0739,13.4441
251,15.1651,225,46,"25620","Murrindindi (S)",164,130,147,18.5032,26,25,39,13.6148,18,17.8771,17.1507
855,12.3955,792,108,"25710","Nillumbik (S)",695,647,699,12.6725,88,86,106,10.8916,70,12.6469,13.4173
123,15.4734,120,25,"25810","Northern Grampians (S)",115,155,108,20.6012,14,18,25,18.4789,29,12.7001,20.4065
419,11.2076,504,56,"25900","Port Phillip (C)",681,554,602,13.3245,58,76,68,12.0042,66,9.65465,13.4621
127,15.7576,130,18,"25990","Pyrenees (S)",76,76,83,14.1592,10,12,21,19.4604,15,11.7255,16.1904
null,null,null,null,"26080","Queenscliffe (B)",25,null,null,null,null,null,null,null,null,null,null
319,9.1895,317,41,"26170","South Gippsland (S)",350,329,342,12.8403,44,32,42,14.4606,48,12.8093,13.2811
175,6.9557,194,19,"26260","Southern Grampians (S)",206,167,169,10.8918,17,14,36,16.3094,27,9.85803,18.7368
511,11.4177,542,46,"26350","Stonnington (C)",659,591,529,8.91708,51,75,61,8.22801,49,9.72502,11.3127
84,13.1901,97,13,"26430","Strathbogie (S)",92,92,135,15.461,22,12,15,11.2499,10,16.3795,15.4526
599,8.9684,587,72,"26490","Surf Coast (S)",368,374,300,11.9982,41,33,66,11.2309,42,13.5555,11.1942
138,15.4072,147,29,"26610","Swan Hill (RC)",250,240,233,20.8489,30,39,29,17.2291,41,12.67,19.5315
73,7.4105,85,11,"26670","Towong (S)",61,60,65,15.3324,8,4,15,14.8791,9,12.9151,17.1555
316,13.9621,326,53,"26700","Wangaratta (RC)",341,332,331,16.6255,58,48,58,15.8917,53,17.5597,17.7864
309,14.9315,402,49,"26730","Warrnambool (C)",374,396,345,15.9868,43,56,60,13.9923,55,12.4083,14.9268
647,16.4785,599,101,"26810","Wellington (S)",517,550,520,15.668,87,85,109,16.8128,92,16.8355,18.2397
57,19.5912,60,9,"26890","West Wimmera (S)",38,38,null,16.033,null,8,6,22.7561,9,null,10.3679
1517,14.0609,1725,193,"26980","Whitehorse (C)",1691,1638,1750,12.6904,192,238,229,12.166,199,10.9647,13.2527
1820,13.1782,1743,257,"27070","Whittlesea (C)",2233,2005,2131,14.1385,275,294,263,16.6552,334,12.8853,15.0796
386,15.7819,451,83,"27170","Wodonga (RC)",456,436,479,21.3959,90,72,77,14.9052,65,18.7023,17.0015
1755,15.0201,1925,258,"27260","Wyndham (C)",2671,2170,2276,14.6913,321,401,295,16.7106,363,14.1238,15.3237
553,11.881,554,71,"27350","Yarra (C)",545,506,528,12.7628,59,65,74,13.4528,68,11.1596,13.3027
1719,13.8906,1737,256,"27450","Yarra Ranges (S)",1809,1746,1852,14.9077,265,251,283,16.2622,284,14.3081,16.3165
70,13.3597,74,9,"27630","Yarriambiack (S)",91,78,73,13.5534,11,12,13,14.6179,11,14.3911,17.8082
null,null,null,null,"29399","Unincorporated Vic",8,null,null,null,null,null,null,null,null,null,null
1105,10.4204,1200,138,"22310","Glen Eira (C)",1404,1294,1310,12.5053,132,146,128,9.79858,127,10.0867,10.695
200,10.9581,200,32,"22410","Glenelg (S)",177,184,190,16.1524,16,19,31,14.1765,26,8.39092,15.4539
