denominators_2009, denominators_2008, denominators_2010, denominators_2007, numerators_2009, lga_name, lga_code, numerators_2007, denominators_2011, numerators_2008, denominators_2012, indicator_2008, indicator_2009, numerators_2012, indicator_2007, numerators_2010, indicator_2011, numerators_2011, indicator_2012, indicator_2010
3501,3474,3560,3441,71,"Ballarat (C)","20570",55,3514,53,3466,15.2562,20.2799,53,15.9837,58,17.6437,62,15.2914,16.2921
3776,3793,3689,3763,13,"Banyule (C)","20660",24,3519,20,3547,5.27287,3.4428,18,6.37789,30,4.54675,16,5.07471,8.13229
779,774,766,775,11,"Bass Coast (S)","20740",11,732,9,742,11.6279,14.1207,19,14.1935,17,30.0546,22,25.6065,22.1932
1488,1486,1463,1469,18,"Baw Baw (S)","20830",12,1491,11,1490,7.40242,12.0968,23,8.16882,17,10.0604,15,15.4362,11.62
2944,2914,2983,2933,null,"Bayside (C)","20910",6,2929,6,2932,2.05903,null,null,2.04569,9,2.38989,7,null,3.0171
469,448,483,433,16,"Benalla (RC)","21010",11,459,7,451,15.625,34.1151,10,25.4042,13,17.4292,8,22.1729,26.9151
5664,5625,5758,5603,10,"Boroondara (C)","21110",null,5847,8,5839,1.42222,1.76554,5,null,6,1.71028,10,0.856311,1.04203
338,350,324,343,null,"Alpine (S)","20110",7,282,10,290,28.5714,null,null,20.4082,5,null,null,null,15.4321
322,325,295,334,16,"Ararat (RC)","20260",8,301,5,299,15.3846,49.6894,8,23.9521,6,39.8671,12,26.7559,20.339
6477,6413,6484,6276,82,"Brimbank (C)","21180",60,6316,54,6268,8.4204,12.6602,67,9.56023,60,10.2913,65,10.6892,9.25355
196,204,198,207,null,"Buloke (S)","21270",5,191,null,176,null,null,null,24.1546,null,null,null,null,null
1242,1224,1239,1190,31,"Campaspe (S)","21370",28,1192,27,1209,22.0588,24.9597,25,23.5294,35,24.3289,29,20.6782,28.2486
2464,2342,2554,2233,31,"Cardinia (S)","21450",27,2693,31,2784,13.2366,12.5812,29,12.0914,20,9.65466,26,10.4167,7.83085
9336,8845,9602,8353,117,"Casey (C)","21610",90,9582,127,9715,14.3584,12.5321,98,10.7746,104,12.0017,115,10.0875,10.8311
358,351,377,348,9,"Central Goldfields (S)","21670",14,386,null,379,null,25.1397,14,40.2299,10,36.2694,14,36.9393,26.5252
697,695,694,713,17,"Colac-Otway (S)","21750",17,648,12,644,17.2662,24.3902,8,23.8429,8,23.1481,15,12.4224,11.5274
565,564,588,546,5,"Corangamite (S)","21830",10,574,6,588,10.6383,8.84956,7,18.315,14,19.1638,11,11.9048,23.8095
3536,3550,3418,3544,21,"Darebin (C)","21890",32,3391,29,3344,8.16901,5.93891,30,9.02935,39,9.14185,31,8.97129,11.4102
1315,1313,1285,1298,26,"East Gippsland (S)","22110",24,1201,29,1158,22.0868,19.7719,27,18.49,20,17.4854,21,23.3161,15.5642
4360,4273,4381,4165,60,"Frankston (C)","22170",64,4357,65,4253,15.2118,13.7615,72,15.3661,56,14.689,64,16.9292,12.7825
325,343,321,350,10,"Gannawarra (S)","22250",11,317,10,312,29.1545,30.7692,5,31.4286,5,15.7729,5,16.0256,15.5763
2220,2162,2227,2135,51,"Greater Shepparton (C)","22830",42,2141,48,2156,22.2017,22.973,55,19.6721,60,25.2219,54,25.5102,26.9421
381,406,379,423,5,"Hepburn (S)","22910",5,379,6,371,14.7783,13.1234,7,11.8203,null,null,null,18.8679,null
177,178,173,175,null,"Hindmarsh (S)","22980",null,null,5,160,28.0899,null,null,null,null,null,null,null,null
2543,2564,2442,2516,35,"Hobsons Bay (C)","23110",26,2428,28,2373,10.9204,13.7633,23,10.3339,27,9.88468,24,9.69237,11.0565
654,639,678,623,18,"Horsham (RC)","23190",6,682,18,663,28.169,27.5229,18,9.63082,12,33.7243,23,27.1493,17.6991
6717,6584,6718,6349,71,"Hume (C)","23270",96,6620,81,6784,12.3026,10.5702,67,15.1205,78,10.2719,68,9.87618,11.6106
516,523,535,512,null,"Indigo (S)","23350",null,504,null,513,null,null,8,null,5,null,null,15.5945,9.34579
4163,4085,4162,4024,20,"Kingston (C)","23430",12,4038,13,4087,3.18237,4.80423,15,2.98211,17,6.93413,28,3.67017,4.08457
5705,5775,5563,5730,26,"Knox (C)","23670",41,5532,43,5436,7.44589,4.55741,19,7.15532,33,4.88069,27,3.49522,5.93205
2769,2766,2702,2696,61,"Latrobe (C)","23810",64,2656,85,2588,30.7303,22.0296,66,23.7389,67,26.7319,71,25.5023,24.7964
194,214,null,218,null,"Loddon (S)","23940",null,195,5,199,23.3645,null,null,null,null,null,null,null,null
1493,1485,1509,1472,5,"Macedon Ranges (S)","24130",13,1521,12,1529,8.08081,3.34896,8,8.83152,7,5.91716,9,5.23218,4.63883
3848,3925,3733,3980,5,"Manningham (C)","24210",null,3674,8,3612,2.03822,1.29938,6,null,7,1.36091,5,1.66113,1.87517
257,251,271,233,null,"Mansfield (S)","24250",0,null,null,null,null,null,null,null,null,null,null,null,null
1686,1693,1636,1695,13,"Maribyrnong (C)","24330",25,1738,20,1711,11.8133,7.71056,8,14.7493,17,7.47986,13,4.67563,10.3912
3472,3435,3470,3376,25,"Maroondah (C)","24410",20,3439,24,3345,6.9869,7.20046,20,5.92417,12,5.81564,20,5.97907,3.45821
3467,3533,3397,3632,11,"Melbourne (C)","24600",5,3510,null,3315,null,3.17277,9,1.37665,6,2.2792,8,2.71493,1.76626
3394,3176,3483,2991,52,"Melton (S)","24650",37,3643,42,3825,13.2242,15.3212,47,12.3704,45,14.8229,54,12.2876,12.9199
