denominators_2009, denominators_2008, denominators_2010, denominators_2007, numerators_2009, lga_name, lga_code, numerators_2007, denominators_2011, numerators_2008, denominators_2012, indicator_2008, indicator_2009, numerators_2012, indicator_2007, numerators_2010, indicator_2011, numerators_2011, indicator_2012, indicator_2010
7728,7819,7755,7752,21,"Ballarat (C)","20570",14,7736,24,7760,306.945,271.739,51,180.599,25,517.063,40,657.216,322.373
8543,8640,8462,8824,13,"Banyule (C)","20660",11,8323,11,8337,127.315,152.171,12,124.66,21,432.536,36,143.937,248.168
2000,2039,2009,2056,8,"Bass Coast (S)","20740",18,1979,null,1969,null,400.0,21,875.486,12,757.959,15,1066.53,597.312
3716,3704,3736,3706,10,"Baw Baw (S)","20830",6,3763,10,3802,269.978,269.107,28,161.9,20,744.087,28,736.454,535.332
7150,7109,7116,7145,null,"Bayside (C)","20910",10,7191,7,7294,98.4667,null,11,139.958,11,166.875,12,150.809,154.581
1256,1280,1192,1265,7,"Benalla (RC)","21010",null,1139,null,1132,null,557.325,null,null,6,965.759,11,null,503.356
13199,13100,13207,12915,8,"Boroondara (C)","21110",null,13056,7,13031,53.4351,60.6107,8,null,12,107.23,14,61.3921,90.8609
939,942,955,946,null,"Alpine (S)","20110",null,930,null,938,null,null,null,null,null,null,null,null,null
866,878,849,944,null,"Ararat (RC)","20260",null,842,null,820,null,null,11,null,null,1187.65,10,1341.46,null
15134,15221,14967,15255,18,"Brimbank (C)","21180",11,14668,10,14584,65.6987,118.937,41,72.1075,29,224.98,33,281.13,193.76
567,597,546,612,null,"Buloke (S)","21270",null,523,null,516,null,null,null,null,null,null,null,null,null
3320,3316,3339,3371,10,"Campaspe (S)","21370",null,3326,7,3282,211.098,301.205,17,null,13,481.058,16,517.977,389.338
6225,6097,6411,5952,23,"Cardinia (S)","21450",12,6739,11,6927,180.417,369.478,45,201.613,21,445.17,30,649.632,327.562
23392,22687,23818,22045,56,"Casey (C)","21610",45,23947,65,24191,286.508,239.398,86,204.128,70,384.182,92,355.504,293.895
1018,1000,1007,994,6,"Central Goldfields (S)","21670",null,969,null,901,null,589.391,7,null,null,null,null,776.915,null
