denominators_2009, indicator_2013, denominators_2010, numerators_2009, lga_code, lga_name, denominators_2013, denominators_2011, denominators_2012, indicator_2009, numerators_2012, numerators_2013, numerators_2010, indicator_2011, numerators_2011, indicator_2012, indicator_2010
967,13.1344,1075,107,"20570","Ballarat (C)",1205,1115,1246,11.112,145,158,126,11.3772,127,11.6616,11.6769
1145,10.3946,1140,115,"20660","Banyule (C)",1265,988,1277,10.0078,131,132,121,11.4071,113,10.2602,10.6318
302,8.8773,313,37,"20740","Bass Coast (S)",391,336,372,12.2065,47,35,38,10.9201,37,12.5714,12.0685
662,12.1231,676,73,"20830","Baw Baw (S)",601,500,525,11.0405,80,73,90,14.3804,72,15.2768,13.3214
965,10.8176,1018,131,"20910","Bayside (C)",1094,1057,1086,13.6137,92,118,78,11.8363,125,8.42816,7.65963
154,13.8083,142,16,"21010","Benalla (RC)",134,125,158,10.416,23,18,24,13.7562,17,14.5847,16.8928
1337,11.6804,1579,120,"21110","Boroondara (C)",1624,1547,1586,9.00187,176,190,141,10.4447,162,11.0856,8.90556
147,15.9389,136,19,"20110","Alpine (S)",138,139,116,12.7987,16,22,18,15.1789,21,14.1079,13.3095
132,13.2451,146,16,"20260","Ararat (RC)",139,120,124,11.9963,19,18,17,8.60638,10,15.4637,11.3655
2128,8.7032,2115,136,"21180","Brimbank (C)",2261,2031,2034,6.3782,190,197,161,8.15607,166,9.32224,7.59193
73,17.1232,76,10,"21270","Buloke (S)",83,75,84,13.6686,7,14,8,21.9347,17,8.03694,9.98974
424,14.6588,470,42,"21370","Campaspe (S)",442,459,433,9.99452,69,65,62,14.1929,65,15.9197,13.2027
783,15.7198,883,131,"21450","Cardinia (S)",1220,1046,1187,16.7419,152,192,120,11.1116,116,12.7824,13.6167
3166,9.7352,3111,389,"21610","Casey (C)",4007,3581,3857,12.3013,396,390,292,9.92748,355,10.2754,9.37869
94,12.6193,119,10,"21670","Central Goldfields (S)",127,126,138,10.4656,15,16,11,23.9336,30,10.5917,9.45277
250,15.1264,273,26,"21750","Colac-Otway (S)",233,240,277,10.2549,29,35,31,12.2614,29,10.3057,11.3671
169,14.9944,179,15,"21830","Corangamite (S)",222,219,208,8.90259,28,33,12,10.913,24,13.5996,6.86758
1282,12.5741,1361,111,"21890","Darebin (C)",1392,1322,1393,8.66847,163,175,135,11.4615,152,11.6843,9.93292
450,10.7913,443,52,"22110","East Gippsland (S)",488,477,505,11.5558,78,53,43,15.2719,73,15.4174,9.70674
1243,14.0802,1387,179,"22170","Frankston (C)",1603,1357,1513,14.3701,218,226,175,12.2446,166,14.4292,12.596
92,10.7919,100,13,"22250","Gannawarra (S)",129,102,115,14.1069,11,14,8,15.6694,16,9.4884,7.98815
816,11.3776,826,87,"22830","Greater Shepparton (C)",847,795,924,10.69,92,96,90,12.2368,97,9.90845,10.8375
146,11.1501,149,18,"22910","Hepburn (S)",162,147,170,12.2767,17,18,26,17.5041,26,9.77354,17.7904
